,Name,Location,MinPrice,MaxPrice,Currency,Cuisine,Longitude,Latitude,precio_medio,MinPrice_USD,MaxPrice_USD,Precio_medio_USD,Categoria_minimo,Categoria_maximo,Categoria_promedio,Nacion,Cuisine_2
4568,Accademia Ristorante,Casale Monferrato,18.0,50.0,EUR,['Country cooking'],8.4533279,45.1364114,34.0,19.036800000000003,52.88,35.958400000000005,Low,Medium,Medium,Italy,Country cooking
4569,Da Giocondo,Rivisondoli,35.0,35.0,EUR,"['Cuisine from Abruzzo', 'Regional Cuisine']",14.0654103,41.8691706,35.0,37.016000000000005,37.016000000000005,37.016000000000005,Medium,Medium,Medium,Italy,Cuisine from Abruzzo
4570,Il Cedro,Moggiona,43.0,43.0,EUR,['Tuscan'],11.791567,43.7828245,43.0,45.476800000000004,45.476800000000004,45.476800000000004,High,Medium,Medium,Italy,Tuscan
4571,Foresta,Moena,35.0,60.0,EUR,"['Regional Cuisine', 'Classic Cuisine']",11.6432225,46.3599668,47.5,37.016000000000005,63.456,50.236000000000004,Medium,Medium,Medium,Italy,Regional Cuisine
4572,Agritur El Mas,Moena,45.0,45.0,EUR,"['Regional Cuisine', 'Alpine']",11.6620468,46.3835301,45.0,47.592000000000006,47.592000000000006,47.592000000000006,High,Medium,Medium,Italy,Regional Cuisine
4573,Buatta Cucina Popolana,Palermo,32.0,45.0,EUR,"['Sicilian', 'Regional Cuisine']",13.3651296,38.1171388,38.5,33.8432,47.592000000000006,40.717600000000004,Medium,Medium,Medium,Italy,Sicilian
4574,Baracca - Storica Hostaria,Trebaseleghe,15.0,60.0,EUR,['Regional Cuisine'],12.04119,45.59254,37.5,15.864,63.456,39.660000000000004,Low,Medium,Medium,Italy,Regional Cuisine
4575,Convito,Sangineto Lido,20.0,63.0,EUR,['Seafood'],15.872977,39.587013,41.5,21.152,66.62880000000001,43.89040000000001,Low,High,Medium,Italy,Seafood
4576,Il Rustichello,Meldola,25.0,40.0,EUR,['Regional Cuisine'],12.0709694,44.1276293,32.5,26.44,42.304,34.372,Medium,Medium,Medium,Italy,Regional Cuisine
4577,Buscone,Varzi,20.0,35.0,EUR,['Regional Cuisine'],9.221432,44.790707,27.5,21.152,37.016000000000005,29.084000000000003,Low,Medium,Low,Italy,Regional Cuisine
4578,Trattoria Bibe,Galluzzo,35.0,50.0,EUR,['Tuscan'],11.2153083,43.7429996,42.5,37.016000000000005,52.88,44.94800000000001,Medium,Medium,Medium,Italy,Tuscan
4579,Palmerino - Il Bacalà a Sandrigo,Sandrigo,50.0,50.0,EUR,"['Regional Cuisine', 'Seasonal Cuisine']",11.621564,45.6617521,50.0,52.88,52.88,52.88,High,Medium,Medium,Italy,Regional Cuisine
4580,Bagatto,Loano,60.0,60.0,EUR,['Ligurian'],8.2597607,44.1277571,60.0,63.456,63.456,63.456,High,Medium,High,Italy,Ligurian
4581,Del Turista - Da Marchesi,Novafeltria,13.0,41.0,EUR,['Country cooking'],12.2584081,43.8990174,27.0,13.748800000000001,43.3616,28.555200000000003,Low,Medium,Low,Italy,Country cooking
4582,La Baita,Faenza,40.0,40.0,EUR,"['Emilian', 'Seasonal Cuisine']",11.8833579,44.2883532,40.0,42.304,42.304,42.304,High,Medium,Medium,Italy,Emilian
4583,Ca' Murani,Faenza,40.0,40.0,EUR,"['Emilian', 'Regional Cuisine']",11.8827507,44.2843241,40.0,42.304,42.304,42.304,High,Medium,Medium,Italy,Emilian
4584,Osteria del Gallo e della Volpe,Ospedaletto d'Alpinolo,28.0,40.0,EUR,"['Regional Cuisine', 'Modern Cuisine']",14.7442689,40.9390634,34.0,29.612800000000004,42.304,35.958400000000005,Medium,Medium,Medium,Italy,Regional Cuisine
4585,Da Gregorio,Morrano Nuovo,50.0,50.0,EUR,"['Regional Cuisine', 'Umbrian']",12.1374042,42.7755985,50.0,52.88,52.88,52.88,High,Medium,Medium,Italy,Regional Cuisine
4586,Raieü,Cavi di Lavagna,60.0,60.0,EUR,"['Seafood', 'Ligurian']",9.380131,44.2900882,60.0,63.456,63.456,63.456,High,Medium,High,Italy,Seafood
4587,Locanda Cacciatori,Ponte dell'Olio,12.0,45.0,EUR,['Emilian'],9.661281,44.8567768,28.5,12.691200000000002,47.592000000000006,30.141600000000004,Low,Medium,Medium,Italy,Emilian
4588,Osteria della Villetta,Palazzolo sull'Oglio,30.0,45.0,EUR,"['Lombardian', 'Traditional Cuisine']",9.8940244,45.6026934,37.5,31.728,47.592000000000006,39.660000000000004,Medium,Medium,Medium,Italy,Lombardian
4589,Hub,Macomer,20.0,65.0,EUR,"['Market Cuisine', 'Italian']",8.7629756,40.2674694,42.5,21.152,68.744,44.94800000000001,Low,High,Medium,Italy,Market Cuisine
4590,Castagneto,Montrigiasco,15.0,45.0,EUR,"['Regional Cuisine', 'Piedmontese']",8.5095252,45.7723788,30.0,15.864,47.592000000000006,31.728,Low,Medium,Medium,Italy,Regional Cuisine
4591,Le Miniere,Traversella,25.0,45.0,EUR,['Traditional Cuisine'],7.7508274,45.5091669,35.0,26.44,47.592000000000006,37.016000000000005,Medium,Medium,Medium,Italy,Traditional Cuisine
4592,Bistrot Donatella,Oviglio,40.0,40.0,EUR,['Piedmontese'],8.4868666,44.8601278,40.0,42.304,42.304,42.304,High,Medium,Medium,Italy,Piedmontese
4593,Taverna dei Caldora,Pacentro,30.0,43.0,EUR,"['Cuisine from Abruzzo', 'Regional Cuisine']",13.9908288,42.0499185,36.5,31.728,45.476800000000004,38.6024,Medium,Medium,Medium,Italy,Cuisine from Abruzzo
4594,La Fossa del Grano,San Severo,25.0,45.0,EUR,['Regional Cuisine'],15.3820992,41.6844115,35.0,26.44,47.592000000000006,37.016000000000005,Medium,Medium,Medium,Italy,Regional Cuisine
4595,Italia,Quarona,15.0,55.0,EUR,"['Regional Cuisine', 'Piedmontese']",8.270105,45.761494,35.0,15.864,58.168000000000006,37.016000000000005,Low,Medium,Medium,Italy,Regional Cuisine
4596,Trattoria Porteri,Brescia,50.0,50.0,EUR,"['Regional Cuisine', 'Seasonal Cuisine']",10.2245503,45.5536988,50.0,52.88,52.88,52.88,High,Medium,Medium,Italy,Regional Cuisine
4597,Il Normanno,Mileto,15.0,35.0,EUR,['Calabrian'],16.0672152,38.6075071,25.0,15.864,37.016000000000005,26.44,Low,Medium,Low,Italy,Calabrian
4598,Tipamasaro,Gavirate,43.0,43.0,EUR,['Classic Cuisine'],8.7210291,45.8404279,43.0,45.476800000000004,45.476800000000004,45.476800000000004,High,Medium,Medium,Italy,Classic Cuisine
4599,Antichi Sapori,Montegrosso,40.0,46.0,EUR,['Regional Cuisine'],16.1411084,41.1722059,43.0,42.304,48.64960000000001,45.476800000000004,High,Medium,Medium,Italy,Regional Cuisine
4600,Da Fausto,Cavatore,18.0,45.0,EUR,['Piedmontese'],8.4467289,44.6292076,31.5,19.036800000000003,47.592000000000006,33.314400000000006,Low,Medium,Medium,Italy,Piedmontese
4601,Dalie e Fagioli,Manerba del Garda,33.0,58.0,EUR,"['Modern Cuisine', 'Regional Cuisine']",10.53301,45.55678,45.5,34.900800000000004,61.34080000000001,48.1208,Medium,Medium,Medium,Italy,Modern Cuisine
4602,Trattoria Pomposa - Al Re gras,Modena,45.0,45.0,EUR,"['Regional Cuisine', 'Emilian']",10.9241876,44.6492927,45.0,47.592000000000006,47.592000000000006,47.592000000000006,High,Medium,Medium,Italy,Regional Cuisine
4603,Osteria San Giulio,Badia di Dulzago,27.0,40.0,EUR,['Regional Cuisine'],8.6128,45.55002,33.5,28.555200000000003,42.304,35.4296,Medium,Medium,Medium,Italy,Regional Cuisine
4604,Antica Trattoria La Toppa,San Donato in Poggio,45.0,45.0,EUR,['Regional Cuisine'],11.2344884,43.5354466,45.0,47.592000000000006,47.592000000000006,47.592000000000006,High,Medium,Medium,Italy,Regional Cuisine
4605,L'Acchiatura,Racale,58.0,58.0,EUR,['Regional Cuisine'],18.09482,39.96073,58.0,61.34080000000001,61.34080000000001,61.34080000000001,High,Medium,High,Italy,Regional Cuisine
4606,Pascalucci,San Nicola Manfredi,45.0,45.0,EUR,"['Regional Cuisine', 'Seafood']",14.8327808,41.0942246,45.0,47.592000000000006,47.592000000000006,47.592000000000006,High,Medium,Medium,Italy,Regional Cuisine
4607,Locanda da Condo,Col San Martino,30.0,45.0,EUR,['Regional Cuisine'],12.0885489,45.8969808,37.5,31.728,47.592000000000006,39.660000000000004,Medium,Medium,Medium,Italy,Regional Cuisine
4608,Osteria Expanificio,Agrigento,25.0,40.0,EUR,['Sicilian'],13.5763684,37.3108491,32.5,26.44,42.304,34.372,Medium,Medium,Medium,Italy,Sicilian
