,Name,Location,MinPrice,MaxPrice,Currency,Cuisine,Longitude,Latitude,precio_medio,MinPrice_USD,MaxPrice_USD,Precio_medio_USD,Categoria_minimo,Categoria_maximo,Categoria_promedio,Nacion,Cuisine_2
0,Aqua,Wolfsburg,225.0,225.0,EUR,"['Creative', 'Modern Cuisine']",10.789999,52.4331722,225.0,237.96,237.96,237.96,Highest,Highest,Highest,Germany,Creative
1,The Table Kevin Fehling,Hamburg,230.0,230.0,EUR,['Creative'],10.0029797,53.5426229,230.0,243.24800000000002,243.24800000000002,243.24800000000002,Highest,Highest,Highest,Germany,Creative
2,Restaurant Überfahrt Christian Jürgens,Rottach-Egern,259.0,319.0,EUR,['Creative'],11.7582292,47.6966846,289.0,273.9184,337.37440000000004,305.6464,Highest,Highest,Highest,Germany,Creative
3,Victor's Fine Dining by christian bau,Perl,205.0,295.0,EUR,['Creative'],6.3872109,49.5351732,250.0,216.80800000000002,311.992,264.40000000000003,Highest,Highest,Highest,Germany,Creative
4,Rutz,Berlin,198.0,245.0,EUR,"['Modern Cuisine', 'Creative']",13.3860867,52.5283507,221.5,209.40480000000002,259.112,234.25840000000002,Highest,Highest,Highest,Germany,Modern Cuisine
5,Restaurant Bareiss,Baiersbronn,150.0,335.0,EUR,['Classic French'],8.3269876,48.5205845,242.5,158.64000000000001,354.29600000000005,256.468,Highest,Highest,Highest,Germany,Classic French
6,temporaire - Schwarzwaldstube,Baiersbronn,215.0,265.0,EUR,"['Classic French', 'Creative']",8.3590633,48.5361528,240.0,227.38400000000001,280.264,253.824,Highest,Highest,Highest,Germany,Classic French
7,schanz. restaurant.,Piesport,115.0,178.0,EUR,"['Modern French', 'Creative']",6.9266002,49.8776003,146.5,121.62400000000001,188.2528,154.9384,Highest,Highest,Highest,Germany,Modern French
8,Waldhotel Sonnora,Dreis,225.0,249.0,EUR,['Classic French'],6.8109342,49.9377323,237.0,237.96,263.3424,250.65120000000002,Highest,Highest,Highest,Germany,Classic French
9,L'Enclume,Cartmel,79.0,175.0,GBP,['Creative'],-2.9538566,54.2017254,127.0,98.4498,218.085,158.2674,Highest,Highest,Highest,United,Creative
10,Fat Duck,Bray,275.0,375.0,GBP,['Creative'],-0.7017529,51.5078582,325.0,342.705,467.325,405.015,Highest,Highest,Highest,United,Creative
11,Waterside Inn,Bray,170.0,188.0,GBP,['Classic French'],-0.6994376,51.5091092,179.0,211.85399999999998,234.2856,223.0698,Highest,Highest,Highest,United,Classic French
12,Restaurant Gordon Ramsay,London,120.0,220.0,GBP,['French'],-0.1621766,51.4854381,170.0,149.54399999999998,274.164,211.85399999999998,Highest,Highest,Highest,United,French
13,Hélène Darroze at The Connaught,London,85.0,185.0,GBP,['Modern Cuisine'],-0.1492905,51.510188,135.0,105.92699999999999,230.547,168.237,Highest,Highest,Highest,United,Modern Cuisine
14,CORE by Clare Smyth,London,125.0,195.0,GBP,['Modern British'],-0.2030649,51.5126689,160.0,155.775,243.009,199.392,Highest,Highest,Highest,United,Modern British
15,Sketch (The Lecture Room & Library),London,125.0,250.0,GBP,['Modern French'],-0.1415369,51.5126775,187.5,155.775,311.55,233.6625,Highest,Highest,Highest,United,Modern French
16,Alain Ducasse at The Dorchester,London,95.0,195.0,GBP,['French'],-0.152575,51.5073381,145.0,118.389,243.009,180.69899999999998,Highest,Highest,Highest,United,French
17,Amador,Vienna,265.0,265.0,EUR,"['Creative', 'Contemporary']",16.3586003,48.2540114,265.0,280.264,280.264,280.264,Highest,Highest,Highest,Austria,Creative
18,Xin Rong Ji (Xinyuan South Road),Beijing,1.0,2.0,CNY,['Taizhou'],116.450148,39.94638,1.5,0.1489,0.2978,0.22335,Low,Low,Low,China,Taizhou
19,King's Joy,Beijing,699.0,1.399,CNY,['Vegetarian'],116.410004,39.946681,350.1995,104.0811,0.2083111,52.144705550000005,Highest,Low,Medium,China,Vegetarian
20,Jade Dragon,Macau,880.0,2.0,MOP,['Cantonese'],113.56715,22.149137,441.0,108.85600000000001,0.2474,54.551700000000004,Highest,Low,High,Macau,Cantonese
21,Robuchon au Dôme,Macau,988.0,3.5,MOP,['French Contemporary'],113.54395,22.189949,495.75,122.21560000000001,0.43295,61.324275,Highest,Low,High,Macau,French Contemporary
22,The Eight,Macau,2.8,3.0,MOP,['Cantonese'],113.54341,22.190475,2.9,0.34636,0.3711,0.35873,Low,Low,Low,Macau,Cantonese
23,8 1/2 Otto e Mezzo - Bombana,Hong Kong,700.0,2.08,HKD,['Italian'],114.15867,22.2814635,351.04,89.18,0.26499200000000006,44.72249600000001,Highest,Low,Medium,Hong,Italian
24,T'ang Court,Hong Kong,1.4,1.83,HKD,['Cantonese'],114.1698,22.296572,1.615,0.17836000000000002,0.23314200000000004,0.20575100000000002,Low,Low,Low,Hong,Cantonese
25,Sushi Shikon,Hong Kong,2.0,3.5,HKD,['Sushi'],114.1577893,22.2806103,2.75,0.2548,0.4459000000000001,0.35035000000000005,Low,Low,Low,Hong,Sushi
26,Caprice,Hong Kong,745.0,2.6,HKD,['French Contemporary'],114.1566097,22.2866489,373.8,94.91300000000001,0.33124000000000003,47.62212000000001,Highest,Low,Medium,Hong,French Contemporary
27,Forum,Hong Kong,2.0,2.0,HKD,['Cantonese'],114.1821905,22.2813972,2.0,0.2548,0.2548,0.2548,Low,Low,Low,Hong,Cantonese
28,Lung King Heen,Hong Kong,760.0,2.98,HKD,['Cantonese'],114.1580538,22.2860122,381.49,96.82400000000001,0.37965200000000004,48.60182600000001,Highest,Low,Medium,Hong,Cantonese
29,L'Atelier de Joël Robuchon,Hong Kong,680.0,2.6,HKD,['French Contemporary'],114.15816,22.281199,341.3,86.632,0.33124000000000003,43.48162000000001,Highest,Low,Medium,Hong,French Contemporary
30,Azurmendi,Larrabetzu,250.0,250.0,EUR,['Creative'],-2.81454,43.26065,250.0,264.40000000000003,264.40000000000003,264.40000000000003,Highest,Highest,Highest,Spain,Creative
31,Martín Berasategui,Lasarte - Oria,220.0,290.0,EUR,['Creative'],-2.0152402,43.2664755,255.0,232.67200000000003,306.704,269.68800000000005,Highest,Highest,Highest,Spain,Creative
32,Aponiente,El Puerto de Santa María,215.0,215.0,EUR,"['Creative', 'Innovative']",-6.2164435,36.6033273,215.0,227.38400000000001,227.38400000000001,227.38400000000001,Highest,Highest,Highest,Spain,Creative
33,El Celler de Can Roca,Girona,190.0,350.0,EUR,['Creative'],2.807927,41.9932026,270.0,200.94400000000002,370.16,285.552,Highest,Highest,Highest,Spain,Creative
34,Quique Dacosta,Dénia,210.0,210.0,EUR,['Creative'],0.0852209,38.8537884,210.0,222.09600000000003,222.09600000000003,222.09600000000003,Highest,Highest,Highest,Spain,Creative
35,Cenador de Amós,Villaverde de Pontones,197.0,235.0,EUR,['Modern Cuisine'],-3.6988243,43.4124884,216.0,208.34720000000002,248.53600000000003,228.44160000000002,Highest,Highest,Highest,Spain,Modern Cuisine
36,DiverXO,Madrid,365.0,365.0,EUR,['Creative'],-3.6856715,40.4582913,365.0,386.02400000000006,386.02400000000006,386.02400000000006,Highest,Highest,Highest,Spain,Creative
37,Arzak,Donostia / San Sebastián,230.0,260.0,EUR,"['Creative', 'Traditional Cuisine']",-1.9490932,43.3214016,245.0,243.24800000000002,274.976,259.112,Highest,Highest,Highest,Spain,Creative
38,Akelaŕe,Donostia / San Sebastián,240.0,240.0,EUR,"['Creative', 'Traditional Cuisine']",-2.0731493,43.3027805,240.0,253.824,253.824,253.824,Highest,Highest,Highest,Spain,Creative
39,Lasarte,Barcelona,175.0,250.0,EUR,['Creative'],2.1622018,41.3936278,212.5,185.08,264.40000000000003,224.74,Highest,Highest,Highest,Spain,Creative
40,ABaC,Barcelona,250.0,250.0,EUR,['Creative'],2.1367664,41.4103822,250.0,264.40000000000003,264.40000000000003,264.40000000000003,Highest,Highest,Highest,Spain,Creative
41,L'OSIER,Tokyo,13.0,44.0,JPY,['French'],139.761233,35.6696524,28.5,0.10139999999999999,0.3432,0.2223,Low,Low,Low,Japan,French
42,Sazenka,Tokyo,34.0,73.0,JPY,['Chinese'],139.728395,35.649578,53.5,0.2652,0.5694,0.4173,Low,Low,Low,Japan,Chinese
43,Kagurazaka Ishikawa,Tokyo,43.0,43.0,JPY,['Japanese'],139.739477,35.701185,43.0,0.3354,0.3354,0.3354,Low,Low,Low,Japan,Japanese
44,Kanda,Tokyo,37.0,43.0,JPY,['Japanese'],139.748172,35.665976,40.0,0.28859999999999997,0.3354,0.312,Low,Low,Low,Japan,Japanese
45,L'Effervescence,Tokyo,34.0,34.0,JPY,['French'],139.719454,35.660299,34.0,0.2652,0.2652,0.2652,Low,Low,Low,Japan,French
46,Quintessence,Tokyo,35.0,35.0,JPY,['French'],139.7329477,35.6240721,35.0,0.27299999999999996,0.27299999999999996,0.27299999999999996,Low,Low,Low,Japan,French
47,Azabu Kadowaki,Tokyo,26.0,70.0,JPY,['Japanese'],139.733551,35.655993,48.0,0.20279999999999998,0.5459999999999999,0.37439999999999996,Low,Low,Low,Japan,Japanese
48,Joël Robuchon,Tokyo,23.0,54.0,JPY,['French'],139.7144835,35.6418703,38.5,0.1794,0.42119999999999996,0.3003,Low,Low,Low,Japan,French
49,RyuGin,Tokyo,49.0,49.0,JPY,['Japanese'],139.759193,35.673583,49.0,0.3822,0.3822,0.3822,Low,Low,Low,Japan,Japanese
50,Sushi Yoshitake,Tokyo,38.0,38.0,JPY,['Sushi'],139.761937,35.66894,38.0,0.2964,0.2964,0.2964,Low,Low,Low,Japan,Sushi
51,Kohaku,Tokyo,43.0,43.0,JPY,['Japanese'],139.741008,35.700701,43.0,0.3354,0.3354,0.3354,Low,Low,Low,Japan,Japanese
52,Makimura,Tokyo,27.0,27.0,JPY,['Japanese'],139.735467,35.590864,27.0,0.21059999999999998,0.21059999999999998,0.21059999999999998,Low,Low,Low,Japan,Japanese
53,Gaon,SEOUL,130.0,260.0,KRW,['Korean'],127.03595,37.52265,195.0,0.10400000000000001,0.20800000000000002,0.156,Low,Low,Low,South,Korean
54,La Yeon,SEOUL,109.0,280.0,KRW,['Korean'],127.00517,37.555813,194.5,0.0872,0.224,0.15560000000000002,Low,Low,Low,South,Korean
55,Dal Pescatore,Runate,150.0,300.0,EUR,"['Modern Cuisine', 'Italian']",10.3565788,45.1712728,225.0,158.64000000000001,317.28000000000003,237.96,Highest,Highest,Highest,Italy,Modern Cuisine
56,Le Calandre,Rubano,150.0,225.0,EUR,['Creative'],11.8096633,45.4215425,187.5,158.64000000000001,237.96,198.3,Highest,Highest,Highest,Italy,Creative
57,Reale,Castel di Sangro,170.0,220.0,EUR,"['Creative', 'Contemporary']",14.10107,41.77379,195.0,179.79200000000003,232.67200000000003,206.23200000000003,Highest,Highest,Highest,Italy,Creative
58,Osteria Francescana,Modena,320.0,320.0,EUR,['Creative'],10.9215518,44.6448099,320.0,338.432,338.432,338.432,Highest,Highest,Highest,Italy,Creative
59,Da Vittorio,Brusaporto,220.0,380.0,EUR,"['Modern Cuisine', 'Contemporary']",9.7692511,45.6756778,300.0,232.67200000000003,401.88800000000003,317.28000000000003,Highest,Highest,Highest,Italy,Modern Cuisine
60,St. Hubertus,San Cassiano,280.0,310.0,EUR,"['Creative', 'Alpine']",11.9305901,46.5717631,295.0,296.12800000000004,327.85600000000005,311.992,Highest,Highest,Highest,Italy,Creative
61,Enrico Bartolini al Mudec,Milan,200.0,300.0,EUR,"['Creative', 'Innovative']",9.161865,45.4516,250.0,211.52,317.28000000000003,264.40000000000003,Highest,Highest,Highest,Italy,Creative
62,Enoteca Pinchiorri,Florence,150.0,345.0,EUR,['Modern Cuisine'],11.2621974,43.770066,247.5,158.64000000000001,364.872,261.75600000000003,Highest,Highest,Highest,Italy,Modern Cuisine
63,Piazza Duomo,Alba,270.0,300.0,EUR,"['Creative', 'Modern Cuisine']",8.0359341,44.7005555,285.0,285.552,317.28000000000003,301.41600000000005,Highest,Highest,Highest,Italy,Creative
64,Uliassi,Senigallia,200.0,220.0,EUR,"['Creative', 'Seafood']",13.2206503,43.7194609,210.0,211.52,232.67200000000003,222.09600000000003,Highest,Highest,Highest,Italy,Creative
65,La Pergola,Rome,250.0,290.0,EUR,"['Modern Cuisine', 'Contemporary']",12.4461151,41.9187946,270.0,264.40000000000003,306.704,285.552,Highest,Highest,Highest,Italy,Modern Cuisine
66,Taian Table,Shanghai,1.858,2.188,CNY,['Innovative'],121.474049,31.221807,2.023,0.2766562,0.32579320000000006,0.3012247,Low,Low,Low,China,Innovative
67,Ultraviolet by Paul Pairet,Shanghai,4.0,8.888,CNY,['Innovative'],121.48509,31.240358,6.444,0.5956,1.3234232000000001,0.9595116,Low,Low,Low,China,Innovative
68,Kashiwaya,Osaka,13.0,43.0,JPY,['Japanese'],135.501289,34.770287,28.0,0.10139999999999999,0.3354,0.21839999999999998,Low,Low,Low,Japan,Japanese
69,HAJIME,Osaka,40.0,54.0,JPY,['Innovative'],135.496058,34.688588,47.0,0.312,0.42119999999999996,0.3666,Low,Low,Low,Japan,Innovative
70,Taian,Osaka,20.0,20.0,JPY,['Japanese'],135.507222,34.673298,20.0,0.156,0.156,0.156,Low,Low,Low,Japan,Japanese
71,Isshisoden Nakamura,Kyoto,26.0,38.0,JPY,['Japanese'],135.765047,35.010347,32.0,0.20279999999999998,0.2964,0.2496,Low,Low,Low,Japan,Japanese
72,Kikunoi Honten,Kyoto,17.0,64.0,JPY,['Japanese'],135.782028,35.00149,40.5,0.1326,0.4992,0.31589999999999996,Low,Low,Low,Japan,Japanese
73,Gion Sasaki,Kyoto,8.0,37.0,JPY,['Japanese'],135.774997,34.998895,22.5,0.0624,0.28859999999999997,0.1755,Low,Low,Low,Japan,Japanese
74,Mizai,Kyoto,50.0,50.0,JPY,['Japanese'],135.782364,35.002993,50.0,0.38999999999999996,0.38999999999999996,0.38999999999999996,Low,Low,Low,Japan,Japanese
75,Hyotei,Kyoto,26.0,64.0,JPY,['Japanese'],135.786603,35.011328,45.0,0.20279999999999998,0.4992,0.351,Low,Low,Low,Japan,Japanese
76,Maeda,Kyoto,49.0,49.0,JPY,['Japanese'],135.7741646,35.0015885,49.0,0.3822,0.3822,0.3822,Low,Low,Low,Japan,Japanese
77,The French Laundry,Yountville,350.0,450.0,USD,"['Contemporary', 'French']",-122.36474,38.40443,400.0,350.0,450.0,400.0,Highest,Highest,Highest,United,Contemporary
78,SingleThread,Healdsburg,375.0,375.0,USD,"['Contemporary', 'Californian']",-122.8697229,38.6122599,375.0,375.0,375.0,375.0,Highest,Highest,Highest,United,Contemporary
79,Manresa,Los Gatos,325.0,325.0,USD,"['Contemporary', 'Californian']",-121.98071,37.22761,325.0,325.0,325.0,325.0,Highest,Highest,Highest,United,Contemporary
80,Atelier Crenn,San Francisco,298.0,298.0,USD,"['Contemporary', 'French']",-122.43586,37.79835,298.0,298.0,298.0,298.0,Highest,Highest,Highest,United,Contemporary
81,Benu,San Francisco,350.0,350.0,USD,"['Asian', 'Contemporary']",-122.3990601,37.7853763,350.0,350.0,350.0,350.0,Highest,Highest,Highest,United,Asian
82,Quince,San Francisco,360.0,360.0,USD,"['Contemporary', 'Californian']",-122.4032607,37.7975054,360.0,360.0,360.0,360.0,Highest,Highest,Highest,United,Contemporary
83,Frantzén,Stockholm,3.8,3.8,SEK,['Modern Cuisine'],18.0597905,59.3341785,3.8,0.38266,0.38266,0.38266,Low,Low,Low,Sweden,Modern Cuisine
84,Maaemo,Oslo,3.5,3.5,NOK,"['Modern Cuisine', 'Creative']",10.7586363,59.9075293,3.5,0.36085,0.36085,0.36085,Low,Low,Low,Norway,Modern Cuisine
85,Geranium,Copenhagen,2.8,2.8,DKK,"['Creative', 'Contemporary']",12.5725289,55.7040847,2.8,0.39788,0.39788,0.39788,Low,Low,Low,Denmark,Creative
86,noma,Copenhagen,2.8,2.8,DKK,['Creative'],12.6106175,55.6833118,2.8,0.39788,0.39788,0.39788,Low,Low,Low,Denmark,Creative
87,Odette,Singapore,298.0,378.0,SGD,['French Contemporary'],103.8516,1.2896459,338.0,215.87120000000002,273.82320000000004,244.84720000000002,Highest,Highest,Highest,Singapore,French Contemporary
88,Les Amis,Singapore,225.0,510.0,SGD,['French'],103.8314,1.3066648,367.5,162.99,369.444,266.21700000000004,Highest,Highest,Highest,Singapore,French
89,Zén,Singapore,450.0,450.0,SGD,['European Contemporary'],103.84042,1.2796271,450.0,325.98,325.98,325.98,Highest,Highest,Highest,Singapore,European Contemporary
90,Le Palais,Taipei,5.0,5.0,TWD,['Cantonese'],121.51289,25.06419,5.0,0.1685,0.1685,0.1685,Low,Low,Low,Taipei,Cantonese
91,Eleven Madison Park,New York,125.0,285.0,USD,"['Contemporary', 'Innovative']",-73.9872414,40.7415543,205.0,125.0,285.0,205.0,Highest,Highest,Highest,United,Contemporary
92,Per Se,New York,355.0,355.0,USD,"['Contemporary', 'French']",-73.9825882,40.7680545,355.0,355.0,355.0,355.0,Highest,Highest,Highest,United,Contemporary
93,Masa,New York,595.0,595.0,USD,"['Japanese', 'Sushi']",-73.98234,40.76819,595.0,595.0,595.0,595.0,Highest,Highest,Highest,United,Japanese
94,Le Bernardin,New York,93.0,228.0,USD,['Seafood'],-73.98223,40.76177,160.5,93.0,228.0,160.5,Highest,Highest,Highest,United,Seafood
95,Chef's Table at Brooklyn Fare,New York,395.0,395.0,USD,['Contemporary'],-73.9964997,40.7560823,395.0,395.0,395.0,395.0,Highest,Highest,Highest,United,Contemporary
96,Alinea,Chicago,210.0,365.0,USD,"['Contemporary', 'Creative']",-87.648174,41.9132737,287.5,210.0,365.0,287.5,Highest,Highest,Highest,United,Contemporary
97,The Inn at Little Washington,Washington,238.0,238.0,USD,"['American', 'French']",-78.1595348,38.7134767,238.0,238.0,238.0,238.0,Highest,Highest,Highest,United,American
98,Inter Scaldes,Kruiningen,165.0,380.0,EUR,['Modern Cuisine'],4.0241076,51.4571608,272.5,174.50400000000002,401.88800000000003,288.196,Highest,Highest,Highest,Netherlands,Modern Cuisine
99,De Librije,Zwolle,232.0,232.0,EUR,['Modern Cuisine'],6.0980183,52.5153644,232.0,245.36320000000003,245.36320000000003,245.36320000000003,Highest,Highest,Highest,Netherlands,Modern Cuisine
100,Restaurant de l'Hôtel de Ville,Crissier,215.0,390.0,CHF,['Classic French'],6.5766897,46.553994,302.5,221.0845,401.037,311.06075,Highest,Highest,Highest,Switzerland,Classic French
101,Cheval Blanc by Peter Knogl,Basel,195.0,270.0,CHF,['Classic French'],7.5875706,47.5604261,232.5,200.5185,277.641,239.07975,Highest,Highest,Highest,Switzerland,Classic French
102,Schloss Schauenstein,Fürstenau,216.0,330.0,CHF,"['Creative', 'Country cooking']",9.4461607,46.7212336,273.0,222.1128,339.339,280.7259,Highest,Highest,Highest,Switzerland,Creative
103,Le Louis XV - Alain Ducasse à l'Hôtel de Paris,Monaco,190.0,380.0,EUR,"['Mediterranean Cuisine', 'Modern Cuisine']",7.4271047,43.7391839,285.0,200.94400000000002,401.88800000000003,301.41600000000005,Highest,Highest,Highest,France,Mediterranean Cuisine
104,Assiette Champenoise,Reims,145.0,335.0,EUR,['Creative'],4.0040608,49.2476571,240.0,153.352,354.29600000000005,253.824,Highest,Highest,Highest,France,Creative
105,Les Prés d'Eugénie - Michel Guérard,Eugénie-les-Bains,265.0,295.0,EUR,['Classic Cuisine'],-0.379286,43.6967029,280.0,280.264,311.992,296.12800000000004,Highest,Highest,Highest,France,Classic Cuisine
106,Georges Blanc,Vonnas,250.0,320.0,EUR,['Classic Cuisine'],4.989383,46.219982,285.0,264.40000000000003,338.432,301.41600000000005,Highest,Highest,Highest,France,Classic Cuisine
107,La Vague d'Or - Cheval Blanc St-Tropez,Saint-Tropez,310.0,375.0,EUR,"['Creative', 'Modern Cuisine']",6.6261535,43.2665849,342.5,327.85600000000005,396.6,362.228,Highest,Highest,Highest,France,Creative
108,Mirazur,Menton,380.0,380.0,EUR,['Creative'],7.5281451,43.7860241,380.0,401.88800000000003,401.88800000000003,401.88800000000003,Highest,Highest,Highest,France,Creative
109,René et Maxime Meilleur,Saint-Martin-de-Belleville,239.0,389.0,EUR,"['Creative', 'Regional Cuisine']",6.5133065,45.3690463,314.0,252.76640000000003,411.4064,332.0864,Highest,Highest,Highest,France,Creative
110,Alléno Paris au Pavillon Ledoyen,Paris,280.0,395.0,EUR,['Creative'],2.3164993,48.8660932,337.5,296.12800000000004,417.752,356.94000000000005,Highest,Highest,Highest,France,Creative
111,Le 1947 - Cheval Blanc,Courchevel,355.0,395.0,EUR,"['Creative', 'Modern Cuisine']",6.6338696,45.4094877,375.0,375.44800000000004,417.752,396.6,Highest,Highest,Highest,France,Creative
112,AM par Alexandre Mazzia,Marseille,175.0,385.0,EUR,['Creative'],5.3862325,43.2701104,280.0,185.08,407.17600000000004,296.12800000000004,Highest,Highest,Highest,France,Creative
113,Pic,Valence,350.0,350.0,EUR,['Creative'],4.8854965,44.9177848,350.0,370.16,370.16,370.16,Highest,Highest,Highest,France,Creative
114,Troisgros - Le Bois sans Feuilles,Ouches,130.0,330.0,EUR,['Creative'],3.99236,46.01033,230.0,137.488,349.00800000000004,243.24800000000002,Highest,Highest,Highest,France,Creative
115,Pierre Gagnaire,Paris,120.0,400.0,EUR,['Creative'],2.3003862,48.8732506,260.0,126.912,423.04,274.976,Highest,Highest,Highest,France,Creative
116,Le Pré Catelan,Paris,150.0,330.0,EUR,"['Creative', 'Modern Cuisine']",2.2507182,48.8639374,240.0,158.64000000000001,349.00800000000004,253.824,Highest,Highest,Highest,France,Creative
117,L'Ambroisie,Paris,330.0,330.0,EUR,['Classic Cuisine'],2.3645215,48.855494,330.0,349.00800000000004,349.00800000000004,349.00800000000004,Highest,Highest,Highest,France,Classic Cuisine
118,Épicure,Paris,310.0,380.0,EUR,['Modern Cuisine'],2.3143664,48.8717289,345.0,327.85600000000005,401.88800000000003,364.872,Highest,Highest,Highest,France,Modern Cuisine
119,Christophe Bacquié,Le Castellet,260.0,295.0,EUR,['Modern Cuisine'],5.7835029,43.2502823,277.5,274.976,311.992,293.48400000000004,Highest,Highest,Highest,France,Modern Cuisine
120,Maison Lameloise,Chagny,85.0,260.0,EUR,['Modern Cuisine'],4.7530169,46.9079964,172.5,89.89600000000002,274.976,182.436,Highest,Highest,Highest,France,Modern Cuisine
121,Flocons de Sel,Megève,210.0,280.0,EUR,['Creative'],6.60007,45.82354,245.0,222.09600000000003,296.12800000000004,259.112,Highest,Highest,Highest,France,Creative
122,Le Cinq,Paris,380.0,380.0,EUR,['Modern Cuisine'],2.3008612,48.8687604,380.0,401.88800000000003,401.88800000000003,401.88800000000003,Highest,Highest,Highest,France,Modern Cuisine
123,Guy Savoy,Paris,250.0,530.0,EUR,['Creative'],2.3391955,48.8566248,390.0,264.40000000000003,560.528,412.46400000000006,Highest,Highest,Highest,France,Creative
124,Auberge du Vieux Puits,Fontjoncouse,195.0,225.0,EUR,['Creative'],2.7893292,43.0481728,210.0,206.23200000000003,237.96,222.09600000000003,Highest,Highest,Highest,France,Creative
125,Arpège,Paris,185.0,460.0,EUR,['Creative'],2.3169648,48.855731,322.5,195.656,486.49600000000004,341.076,Highest,Highest,Highest,France,Creative
126,Kei,Paris,85.0,340.0,EUR,['Modern Cuisine'],2.3422847,48.8643947,212.5,89.89600000000002,359.58400000000006,224.74,Highest,Highest,Highest,France,Modern Cuisine
127,L'Oustau de Baumanière,Les Baux-de-Provence,165.0,240.0,EUR,['Modern Cuisine'],4.7933262,43.7486439,202.5,174.50400000000002,253.824,214.16400000000002,Highest,Highest,Highest,France,Modern Cuisine
128,Christopher Coutanceau,La Rochelle,190.0,265.0,EUR,['Seafood'],-1.1609135,46.1557284,227.5,200.94400000000002,280.264,240.604,Highest,Highest,Highest,France,Seafood
129,Le Petit Nice,Marseille,180.0,430.0,EUR,['Seafood'],5.3521929,43.2803346,305.0,190.36800000000002,454.76800000000003,322.56800000000004,Highest,Highest,Highest,France,Seafood
130,Régis et Jacques Marcon,Saint-Bonnet-le-Froid,180.0,240.0,EUR,['Creative'],4.43436,45.13956,210.0,190.36800000000002,253.824,222.09600000000003,Highest,Highest,Highest,France,Creative
131,Le Clos des Sens,Annecy,148.0,238.0,EUR,['Creative'],6.1442973,45.9180547,193.0,156.52480000000003,251.70880000000002,204.1168,Highest,Highest,Highest,France,Creative
132,Zilte,Antwerpen,195.0,330.0,EUR,['Creative'],4.4049639,51.2287189,262.5,206.23200000000003,349.00800000000004,277.62,Highest,Highest,Highest,Belgium,Creative
133,Hof van Cleve,Kruishoutem,295.0,530.0,EUR,['Creative'],3.5098648,50.9039501,412.5,311.992,560.528,436.26000000000005,Highest,Highest,Highest,Belgium,Creative
134,Ösch Noir,Donaueschingen,145.0,195.0,EUR,"['Modern Cuisine', 'Classic Cuisine']",8.5474271,47.9655266,170.0,153.352,206.23200000000003,179.79200000000003,Highest,Highest,Highest,Germany,Modern Cuisine
135,ES:SENZ,Grassau,150.0,205.0,EUR,"['Creative', 'Modern Cuisine']",12.4656421,47.785695,177.5,158.64000000000001,216.80800000000002,187.72400000000002,Highest,Highest,Highest,Germany,Creative
136,Luce d'Oro,Krün,189.0,229.0,EUR,"['Modern Cuisine', 'Creative']",11.1869112,47.4620032,209.0,199.8864,242.1904,221.03840000000002,Highest,Highest,Highest,Germany,Modern Cuisine
137,Tohru in der Schreiberei,Munich,245.0,245.0,EUR,"['Modern Cuisine', 'Japanese Contemporary']",11.5775303,48.1375661,245.0,259.112,259.112,259.112,Highest,Highest,Highest,Germany,Modern Cuisine
138,OPUS V,Mannheim,109.0,185.0,EUR,"['Modern Cuisine', 'Creative']",8.4699546,49.4858598,147.0,115.2784,195.656,155.46720000000002,Highest,Highest,Highest,Germany,Modern Cuisine
139,Lorenz Adlon Esszimmer,Berlin,135.0,250.0,EUR,['Creative'],13.380011,52.5159333,192.5,142.776,264.40000000000003,203.58800000000002,Highest,Highest,Highest,Germany,Creative
140,Falco,Leipzig,99.0,262.0,EUR,['Creative'],12.3754206,51.3463665,180.5,104.70240000000001,277.0912,190.8968,Highest,Highest,Highest,Germany,Creative
141,Söl'ring Hof,Rantum,214.0,284.0,EUR,"['Creative', 'Country cooking']",8.2887697,54.8536822,249.0,226.3264,300.3584,263.3424,Highest,Highest,Highest,Germany,Creative
142,Obendorfers Eisvogel,Neunburg vorm Wald,145.0,211.0,EUR,"['Creative', 'Classic Cuisine']",12.2619376,49.3383934,178.0,153.352,223.1536,188.2528,Highest,Highest,Highest,Germany,Creative
143,etz,Nuremberg,210.0,210.0,EUR,"['Creative', 'Regional Cuisine']",11.079949,49.4554627,210.0,222.09600000000003,222.09600000000003,222.09600000000003,Highest,Highest,Highest,Germany,Creative
144,Steinheuers Restaurant Zur Alten Post,Bad Neuenahr-Ahrweiler,155.0,195.0,EUR,"['Classic French', 'Classic Cuisine']",7.1642775,50.5509788,175.0,163.92800000000003,206.23200000000003,185.08,Highest,Highest,Highest,Germany,Classic French
145,Restaurant Heinz Winkler,Aschau im Chiemgau,105.0,210.0,EUR,['Classic French'],12.3217303,47.779365,157.5,111.04800000000002,222.09600000000003,166.572,Highest,Highest,Highest,Germany,Classic French
146,Haerlin,Hamburg,190.0,250.0,EUR,"['Creative French', 'Classic Cuisine']",9.9914638,53.5554424,220.0,200.94400000000002,264.40000000000003,232.67200000000003,Highest,Highest,Highest,Germany,Creative French
147,Vendôme,Bergisch Gladbach,240.0,285.0,EUR,"['Creative', 'Classic French']",7.1604778,50.9665691,262.5,253.824,301.41600000000005,277.62,Highest,Highest,Highest,Germany,Creative
148,Speisemeisterei,Stuttgart,149.0,189.0,EUR,"['Modern Cuisine', 'International']",9.2135508,48.7128772,169.0,157.5824,199.8864,178.73440000000002,Highest,Highest,Highest,Germany,Modern Cuisine
